dataset,llm,method,n_expert,sRMSE,sRMSE_se,standardized_bias,bias_se,n_reps,phase
misogynistic,llama,llm_only,,0.138833,0.0,0.138833,0.0,300,prevalence
misogynistic,llama,expert_only,20.0,0.210228,0.012137,0.001012,0.012137,300,prevalence
misogynistic,llama,expert_only,26.0,0.188208,0.010845,0.011762,0.010845,300,prevalence
misogynistic,llama,expert_only,33.0,0.172329,0.009949,0.001397,0.009949,300,prevalence
misogynistic,llama,expert_only,43.0,0.156346,0.009022,-0.005224,0.009022,300,prevalence
misogynistic,llama,expert_only,56.0,0.138347,0.007984,0.004093,0.007984,300,prevalence
misogynistic,llama,expert_only,72.0,0.116983,0.006729,0.009984,0.006729,300,prevalence
misogynistic,llama,expert_only,93.0,0.093563,0.005357,-0.012009,0.005357,300,prevalence
misogynistic,llama,expert_only,120.0,0.088484,0.005094,0.006752,0.005094,300,prevalence
misogynistic,llama,expert_only,155.0,0.077074,0.004446,0.003234,0.004446,300,prevalence
misogynistic,llama,expert_only,200.0,0.062244,0.003584,-0.004538,0.003584,300,prevalence
misogynistic,llama,dsl,20.0,0.212714,0.012281,-0.001084,0.012281,300,prevalence
misogynistic,llama,dsl,26.0,0.179773,0.010336,0.016297,0.010336,300,prevalence
misogynistic,llama,dsl,33.0,0.141621,0.008176,-0.000938,0.008176,300,prevalence
misogynistic,llama,dsl,43.0,0.118927,0.006847,-0.008974,0.006847,300,prevalence
misogynistic,llama,dsl,56.0,0.101364,0.005852,-6.8e-05,0.005852,300,prevalence
misogynistic,llama,dsl,72.0,0.083183,0.004801,0.001751,0.004801,300,prevalence
misogynistic,llama,dsl,93.0,0.070324,0.004027,-0.008908,0.004027,300,prevalence
misogynistic,llama,dsl,120.0,0.066629,0.003827,0.006704,0.003827,300,prevalence
misogynistic,llama,dsl,155.0,0.057563,0.003323,0.001021,0.003323,300,prevalence
misogynistic,llama,dsl,200.0,0.049451,0.002855,-0.000518,0.002855,300,prevalence
misogynistic,llama,ppi,20.0,0.166321,0.009598,0.005036,0.009598,300,prevalence
misogynistic,llama,ppi,26.0,0.149884,0.008562,0.021798,0.008562,300,prevalence
misogynistic,llama,ppi,33.0,0.13922,0.008034,0.004174,0.008034,300,prevalence
misogynistic,llama,ppi,43.0,0.119305,0.006883,-0.004541,0.006883,300,prevalence
misogynistic,llama,ppi,56.0,0.10259,0.005917,0.00479,0.005917,300,prevalence
misogynistic,llama,ppi,72.0,0.083714,0.004824,0.005303,0.004824,300,prevalence
misogynistic,llama,ppi,93.0,0.070274,0.004033,-0.007613,0.004033,300,prevalence
misogynistic,llama,ppi,120.0,0.06615,0.003792,0.00791,0.003792,300,prevalence
misogynistic,llama,ppi,155.0,0.057673,0.003327,0.002134,0.003327,300,prevalence
misogynistic,llama,ppi,200.0,0.049269,0.002844,0.000369,0.002844,300,prevalence
misogynistic,llama,ppipp,20.0,0.172845,0.009979,0.001226,0.009979,300,prevalence
misogynistic,llama,ppipp,26.0,0.154098,0.008854,0.015086,0.008854,300,prevalence
misogynistic,llama,ppipp,33.0,0.144872,0.008364,0.001576,0.008364,300,prevalence
misogynistic,llama,ppipp,43.0,0.130065,0.007502,-0.005814,0.007502,300,prevalence
misogynistic,llama,ppipp,56.0,0.112263,0.006479,0.003257,0.006479,300,prevalence
misogynistic,llama,ppipp,72.0,0.093868,0.005406,0.006731,0.005406,300,prevalence
misogynistic,llama,ppipp,93.0,0.076777,0.004394,-0.010132,0.004394,300,prevalence
misogynistic,llama,ppipp,120.0,0.072403,0.004161,0.006997,0.004161,300,prevalence
misogynistic,llama,ppipp,155.0,0.06366,0.003673,0.002398,0.003673,300,prevalence
misogynistic,llama,ppipp,200.0,0.05173,0.002984,-0.002273,0.002984,300,prevalence
