dataset,llm,method,n_expert,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid,phase
misogynistic,deepseek,llm_only,,0.719007,0.0,-2.745076,0.0,300,300,full_logistic
misogynistic,deepseek,expert_only,26.0,0.763365,0.007922,0.956962,0.120985,300,300,full_logistic
misogynistic,deepseek,expert_only,72.0,0.548793,0.006056,1.202267,0.118856,300,300,full_logistic
misogynistic,deepseek,expert_only,200.0,0.349578,0.004752,0.477077,0.076412,300,300,full_logistic
misogynistic,deepseek,dsl,26.0,0.955295,0.001292,-0.572187,0.018786,300,300,full_logistic
misogynistic,deepseek,dsl,72.0,0.950981,0.0007,-0.574682,0.010771,300,300,full_logistic
misogynistic,deepseek,dsl,200.0,0.950567,0.000378,-0.570152,0.005879,300,300,full_logistic
misogynistic,deepseek,ppi,26.0,0.949998,0.0024,-0.598708,0.033598,300,300,full_logistic
misogynistic,deepseek,ppi,72.0,0.945767,0.001451,-0.610783,0.01931,300,300,full_logistic
misogynistic,deepseek,ppi,200.0,0.945506,0.000884,-0.654576,0.009904,300,300,full_logistic
