text,x1,x2,x3,x4,x5,y
"But sadly , there is no indication that the GMA consortium which will design , operate and maintain the first of the new generation British trams in Manchester will share the looks of their Milanese counterparts .",37,4.7837837838,0.014084507000000001,1,0.0402298851,1
"Hale 's eyes stare knowingly at the viewer , a human sacrifice to an alienated and consumerist culture .",19,4.5263157895,0.0192307692,0,0.012048192800000001,1
"There is now cylindrical symmetry and a net charge per unit length [formula] , yielding for the radial component of the electric field [formula] .",25,4.88,0.013698630100000001,1,0.0086206897,1
This should be followed by a separate section on how to set the system up in the first place and how to check that it is working properly .,29,3.8275862069,0.0071942446,2,0.0090909091,1
National Power was given 70 per cent of the CEGB 's generating capacity in order to give it an economic mix of power .,24,3.9583333333,0.0084745763,1,0.0659340659,1
Two nines are eighteen .,5,4.0,0.0416666667,1,0.0526315789,0
The major auction houses have moved with the times and have found new ways of selling works which in both form and content would have proved an unstable investment a decade ago .,33,4.4242424242,0.0056179775,0,0.006896551700000001,1
"It 's right that the Guildford Four have told their stories now to Grant McKee and Ros Franey and First Tuesday , the programme and the producers who dug away , and did much to keep the case alive .",40,3.975,0.0151515152,0,0.064516129,1
That 's the one I saw when I was coming in .,12,2.75,0.022727272700000002,1,0.09677419350000001,0
I 'll go and eat your dinner .,8,2.875,0.033333333300000004,0,0.0476190476,0
Mm .,2,1.5,0.25,0,0.5,0
She kept looking over there .,6,4.0,0.0344827586,0,0.0434782609,0
french fries .,3,4.0,0.0714285714,0,0.0,0
The conference opened with Labour buoyed by a series of weekend opinion polls giving leads of from 5 to 12 points .,22,4.2727272727,0.0086956522,0,0.022222222200000002,1
What Andrew Motion presents us with here is a static and humourless piece filled with over imagery .,18,4.6111111111,0.01,1,0.0365853659,1
Yeah .,2,2.5,0.1666666667,0,0.25,0
"Ah , get a .",5,1.6,0.1666666667,0,0.1666666667,0
From this end or ?,5,2.8,0.0555555556,0,0.0769230769,0
"Yeah , I",3,2.0,0.125,0,0.4,0
"After that we would go to Tahiti , and I saw the excitement grow in Ellen as she realised that these plans were so close to coming true .",29,3.7586206897,0.0145985401,1,0.037383177600000005,1
Yes indeed .,3,3.3333333333,0.0833333333,0,0.1111111111,0
"There is an argument that treason is a more serious offence , since it strikes at the very foundations of the State and its social organizations , but treason is so rare that it is surely permissible to treat homicide as the most serious form of crime .",48,4.2916666667,0.0118577075,4,0.009852216700000001,1
"I 've got it in Disco Club Mirror , it 's the front page out the",16,3.0625,0.015625,0,0.0869565217,0
"Then , as she reached the dock 's edge , she suddenly checked .",14,3.5714285714,0.0476190476,0,0.0217391304,0
"We found there that by choosing a scalar function in the form [formula] we could automatically satisfy the other equation for the electric field strength , [formula] .",28,5.0,0.0119760479,0,0.007462686600000001,1
‘ What a small world !,6,2.8333333333,0.0454545455,0,0.0666666667,0
Can you blame him,4,3.5,0.0,0,0.0714285714,0
"I know , but you shall have to bring it home wo n't you ?",15,2.8666666667,0.0350877193,0,0.025,0
"The struggle therefore went on to keep the Unionist press alive , and in 1912 and 1913 both Aitken and Northcliffe stood by the party and gave valuable support in their papers .",33,4.3939393939,0.011299435,0,0.029629629600000002,1
The main components of the first system are well known : the atmosphere is its engine and atmospheric circulation is driven by differences in solar heating between the equatorial and polar regions .,33,5.0303030303,0.0101010101,3,0.0060975610000000005,0
No .,2,1.5,0.25,0,0.5,0
"The survey of children 's attitudes helped here : research such as Ormerod 's ( 1971 ; Ormerod and Duckworth , 1975 ) had shown that girls were interested in the social implications of science , but did not tell teachers what the desirable teaching approach might be in practice .",51,4.5098039216,0.0178571429,2,0.0187793427,1
Ooh !,2,2.0,0.2,0,0.33333333330000003,0
The vast majority of natural hazards studies have ignored the physical nature of the events and have concentrated on behavioural issues such as the perception and estimation of hazards .,30,5.2333333333,0.0053763441,0,0.006410256400000001,0
Relief surged through her like a physical infusion of new blood .,12,4.5,0.015384615400000001,0,0.0188679245,1
Health : Alternative cures ‘ not proven ’,8,4.25,0.0243902439,0,0.064516129,0
I 'll try not to fall down the step when I go .,13,2.6923076923,0.0212765957,0,0.060606060600000004,0
"While ultimately qualitative , it seems to offer a method for coping with different types of process and incorporating stochastic and truly random events .",25,5.24,0.012903225800000001,0,0.007751938000000001,0
They saw Daniel advancing .,5,4.6,0.037037037,0,0.0909090909,0
What are ?,3,2.6666666667,0.1,1,0.1428571429,0
"As we have already implied , GIS has a role to play in all aspects of hazard research , from hazard monitoring , risk assessment and emergency planning to coping with an event and evaluating its consequences .",38,4.5263157895,0.019138756,0,0.0238095238,0
Charlotte what did you say ?,6,3.8333333333,0.0357142857,0,0.0454545455,0
"In an earlier than expected Commercial Court judgment , Mr Justice Saville found that the members had not produced enough evidence of irregularities in the ‘ LMX spiral ’ , which sends catastrophe risks swirling round the market to stop the usual process of calling on cash deposits to make good syndicate losses .",54,4.8333333333,0.0095541401,0,0.03515625,1
He took the Englishman by the arm and ushered him toward the easy chairs arranged around a long rectangular coffee table .,22,4.5909090909,0.008196721300000001,0,0.02,0
Erm I could,3,3.0,0.0,0,0.2222222222,0
Some of these characteristics are now addressed in slightly more detail ; it will be obvious that such problems merit a paper in themselves .,25,4.68,0.0141843972,2,0.0086956522,0
"OLDHAM Athletic , who had never beaten a First Division side since they dropped into the Second Division in 1923 , made up for 66 years of not altogether patient waiting with a pulsating victory over the League champions Arsenal at Boundary Park last night .",46,4.6304347826,0.011627907000000002,0,0.0735294118,1
"It has now been copied into INGRES , a relational database management system , permitting queries to be made about subsets of the data ; for instance , all males between the ages of 25 and 64 suffering from laryngeal cancer .",42,4.380952381,0.022222222200000002,2,0.04,1
Yeah .,2,2.5,0.1666666667,0,0.25,0
Since charged particles rarely travel close to the velocity of light we may conclude that the magnetic forces are by orders of magnitude smaller than the electric forces .,29,4.9310344828,0.0058479532,1,0.007042253500000001,1
"Top Of The Pops , oh",6,2.5,0.05,0,0.2857142857,0
"Descended from an Aztec mother goddess , Llorona is a long-suffering mother figure , symbolic in a wider sense of the trauma of the Spanish invasion .",27,4.5925925926,0.02,1,0.033333333300000004,1
Love him .,3,2.6666666667,0.1,0,0.1428571429,0
4 .,2,1.0,0.33333333330000003,0,0.0,0
This contribution also indicates the wide variety of groups that are involved in monitoring environmental change and draws attention to the role that the European Community is increasingly playing in co-ordinating these efforts .,34,5.7647058824,0.0043668122,2,0.0154639175,1
"Not so long ago it seemed as if the world was to divide into three main trading blocks : the EC based around the West German economy ; a Northern American block based around the US-Canadian free trade area , and a Pacific unit incorporating the Asian tigers with Japan and the yen at the centre .",57,4.2105263158,0.013513513500000001,1,0.055319148900000004,1
So in practice the ‘ grievous bodily harm ’ rule goes further than the arguments of its protagonists would support .,21,4.5714285714,0.0086206897,0,0.0107526882,1
"It is not that prospects for earnings are 10 p.c. better that they were in the middle of last week , but it is possible to argue that prospects are that much better than they would have been under a Labour government and that the market was discounting such a result .",52,4.1730769231,0.0149253731,7,0.009478673,1
"Furthermore , it has been found that the association between delinquency on the one hand and height , weight and physique on the other is greatly reduced once social , background factors are taken into account .",37,4.7297297297,0.018957346,3,0.0058479532,1
"The government sponsored Meadowell Initiative makes noises in the north of the estate — but does pitifully little , painfully slowly .",22,5.1363636364,0.0149253731,0,0.0272727273,1
"This , of course , is a popular subject : it seems particularly attractive to the poet-turned-novelist because of the scope it offers for the tremulously sensitive probing of feelings .",31,5.0,0.0216216216,1,0.0067114094,1
"The ‘ detour , of Stalinism is thus formalized as Marxism 's own descent into its unconscious , resulting in a dream-work of heterogeneous histories that have eluded systematization and subsumption into the single meaning of Marxism 's own reading of history .",43,5.0697674419,0.0115384615,1,0.018957346,1
Right we go across the road now nicely .,9,3.5555555556,0.025,0,0.0322580645,0
The situation is further confused when some but not all the operator information support is itself based .,18,4.9444444444,0.009433962300000001,2,0.0113636364,1
They did it for their conquerors . ’,8,3.625,0.0277777778,0,0.037037037,0
"Although he was fourteen years younger than Alexander , Daniel too was in the habit of thinking of himself as a survivor , a battered and grizzled survivor .",29,4.4482758621,0.019108280300000002,2,0.0238095238,1
He sent you a letter .,6,2.8333333333,0.0454545455,0,0.0625,0
"Without Angela Morgan , at least two major clients were in danger of not getting the assiduous service they were paying for , and it would be well worth trying to see if one of them , whom he knew to be a fellow refugee from family life at the weekends , could be found .",56,3.8571428571,0.0184501845,5,0.0142180095,1
In the coloured area .,5,3.6,0.0454545455,0,0.058823529400000005,0
She 's started ?,4,3.25,0.0625,0,0.0909090909,0
"The hotel lies in five acres of fields and garden , and the Slingos , who own it , make the most of their beautiful surroundings by running painting courses for about £200 a week ( including breakfast and dinner ) , or £90 for a long weekend .",49,3.9795918367,0.0205761317,0,0.011049723800000001,1
The emphasis on ‘ crime ’ and the ‘ criminal acts ’ of the rioters in the official responses to the 1985 riots took a general and a specific form .,31,3.7741935484,0.0068027211,0,0.009259259300000001,1
Ego-identity and Choosing Science,4,7.5,0.0,0,0.1034482759,0
By ELISABETH DE STROUMILLO,4,5.75,0.0,0,0.9565217391,0
"Such a commitment to the environment is , none the less , both welcome and necessary if resources are to be made available to tackle existing , let alone forthcoming , environmental problems .",34,4.6764705882,0.0260416667,3,0.0064935065,0
Who Charlotte ?,3,4.3333333333,0.0666666667,0,0.1666666667,0
"Underlying it all , however , is one obvious fact : that the gathering and analysis of geographically distributed environmental data form the necessary starting-point for ensuring the success of our future on earth .",35,5.2,0.0185185185,1,0.0056497175,0
Mm .,2,1.5,0.25,0,0.5,0
"He bought himself er a padded shirt , you know ?",11,3.4545454545,0.0416666667,0,0.0277777778,0
He hesitated .,3,4.0,0.0714285714,0,0.0909090909,0
