dataset,llm,method,n_expert,N_total,sRMSE,sRMSE_se,bias,bias_se,n_reps,n_valid,phase
misogynistic,deepseek,llm_only,200,,0.176,0.0,0.176,0.0,300,300,prevalence
misogynistic,deepseek,expert_only,200,239.0,0.067228,0.003879,-0.0025,0.003879,300,300,prevalence
misogynistic,deepseek,expert_only,200,286.0,0.062514,0.003609,0.000467,0.003609,300,300,prevalence
misogynistic,deepseek,expert_only,200,342.0,0.062439,0.003596,-0.004467,0.003596,300,300,prevalence
misogynistic,deepseek,expert_only,200,409.0,0.061954,0.003577,0.0007,0.003577,300,300,prevalence
misogynistic,deepseek,expert_only,200,489.0,0.063804,0.003663,-0.006833,0.003663,300,300,prevalence
misogynistic,deepseek,expert_only,200,585.0,0.063232,0.00365,0.0011,0.00365,300,300,prevalence
misogynistic,deepseek,expert_only,200,699.0,0.061205,0.003533,-0.001267,0.003533,300,300,prevalence
misogynistic,deepseek,expert_only,200,836.0,0.066568,0.003843,-0.001333,0.003843,300,300,prevalence
misogynistic,deepseek,expert_only,200,1000.0,0.068535,0.003953,0.002833,0.003953,300,300,prevalence
misogynistic,deepseek,dsl,200,239.0,0.065199,0.003756,-0.004279,0.003756,300,300,prevalence
misogynistic,deepseek,dsl,200,286.0,0.057658,0.003328,0.001467,0.003328,300,300,prevalence
misogynistic,deepseek,dsl,200,342.0,0.055683,0.00321,-0.002892,0.00321,300,300,prevalence
misogynistic,deepseek,dsl,200,409.0,0.055414,0.003197,0.002314,0.003197,300,300,prevalence
misogynistic,deepseek,dsl,200,489.0,0.056482,0.003216,-0.009358,0.003216,300,300,prevalence
misogynistic,deepseek,dsl,200,585.0,0.052175,0.00301,0.001908,0.00301,300,300,prevalence
misogynistic,deepseek,dsl,200,699.0,0.050216,0.002898,-0.001684,0.002898,300,300,prevalence
misogynistic,deepseek,dsl,200,836.0,0.050401,0.002903,0.00355,0.002903,300,300,prevalence
misogynistic,deepseek,dsl,200,1000.0,0.052088,0.003,0.003675,0.003,300,300,prevalence
misogynistic,deepseek,ppi,200,239.0,0.065133,0.003753,-0.004075,0.003753,300,300,prevalence
misogynistic,deepseek,ppi,200,286.0,0.057712,0.00333,0.001885,0.00333,300,300,prevalence
misogynistic,deepseek,ppi,200,342.0,0.055803,0.003219,-0.00236,0.003219,300,300,prevalence
misogynistic,deepseek,ppi,200,409.0,0.055359,0.003192,0.00279,0.003192,300,300,prevalence
misogynistic,deepseek,ppi,200,489.0,0.056415,0.003221,-0.008422,0.003221,300,300,prevalence
misogynistic,deepseek,ppi,200,585.0,0.052177,0.00301,0.002219,0.00301,300,300,prevalence
misogynistic,deepseek,ppi,200,699.0,0.050028,0.002888,-0.001191,0.002888,300,300,prevalence
misogynistic,deepseek,ppi,200,836.0,0.050506,0.002906,0.004269,0.002906,300,300,prevalence
misogynistic,deepseek,ppi,200,1000.0,0.052183,0.003002,0.004418,0.003002,300,300,prevalence
misogynistic,deepseek,ppipp,200,239.0,0.065507,0.003777,-0.003315,0.003777,300,300,prevalence
misogynistic,deepseek,ppipp,200,286.0,0.058915,0.003401,0.001075,0.003401,300,300,prevalence
misogynistic,deepseek,ppipp,200,342.0,0.057425,0.003309,-0.003564,0.003309,300,300,prevalence
misogynistic,deepseek,ppipp,200,409.0,0.056948,0.003287,0.001596,0.003287,300,300,prevalence
misogynistic,deepseek,ppipp,200,489.0,0.057964,0.003317,-0.007729,0.003317,300,300,prevalence
misogynistic,deepseek,ppipp,200,585.0,0.055036,0.003176,0.001461,0.003176,300,300,prevalence
misogynistic,deepseek,ppipp,200,699.0,0.053313,0.003077,-0.001394,0.003077,300,300,prevalence
misogynistic,deepseek,ppipp,200,836.0,0.055849,0.003224,0.001197,0.003224,300,300,prevalence
misogynistic,deepseek,ppipp,200,1000.0,0.057965,0.003341,0.00337,0.003341,300,300,prevalence
