dataset,llm,method,n_expert,sRMSE,sRMSE_se,standardized_bias,bias_se,n_reps,phase
misogynistic,deepseek,llm_only,,0.176,0.0,0.176,0.0,300,prevalence
misogynistic,deepseek,expert_only,20.0,0.211818,0.012229,0.001333,0.012229,300,prevalence
misogynistic,deepseek,expert_only,26.0,0.198912,0.011437,0.017949,0.011437,300,prevalence
misogynistic,deepseek,expert_only,33.0,0.163037,0.009385,-0.012525,0.009385,300,prevalence
misogynistic,deepseek,expert_only,43.0,0.153864,0.00887,-0.008527,0.00887,300,prevalence
misogynistic,deepseek,expert_only,56.0,0.133503,0.007706,-0.003095,0.007706,300,prevalence
misogynistic,deepseek,expert_only,72.0,0.111815,0.006451,-0.004167,0.006451,300,prevalence
misogynistic,deepseek,expert_only,93.0,0.098558,0.005679,0.006308,0.005679,300,prevalence
misogynistic,deepseek,expert_only,120.0,0.087496,0.005048,0.003222,0.005048,300,prevalence
misogynistic,deepseek,expert_only,155.0,0.073314,0.004225,0.004344,0.004225,300,prevalence
misogynistic,deepseek,expert_only,200.0,0.064738,0.003736,0.002167,0.003736,300,prevalence
misogynistic,deepseek,dsl,20.0,0.210754,0.012166,0.003591,0.012166,300,prevalence
misogynistic,deepseek,dsl,26.0,0.189076,0.010834,0.023166,0.010834,300,prevalence
misogynistic,deepseek,dsl,33.0,0.139484,0.008022,-0.012169,0.008022,300,prevalence
misogynistic,deepseek,dsl,43.0,0.121374,0.006987,-0.009229,0.006987,300,prevalence
misogynistic,deepseek,dsl,56.0,0.106612,0.006153,-0.002832,0.006153,300,prevalence
misogynistic,deepseek,dsl,72.0,0.090197,0.005207,-0.000721,0.005207,300,prevalence
misogynistic,deepseek,dsl,93.0,0.076183,0.004398,0.000736,0.004398,300,prevalence
misogynistic,deepseek,dsl,120.0,0.072047,0.004159,0.00099,0.004159,300,prevalence
misogynistic,deepseek,dsl,155.0,0.057142,0.00328,0.00618,0.00328,300,prevalence
misogynistic,deepseek,dsl,200.0,0.047799,0.002759,0.000713,0.002759,300,prevalence
misogynistic,deepseek,ppi,20.0,0.16458,0.009494,0.006816,0.009494,300,prevalence
misogynistic,deepseek,ppi,26.0,0.150082,0.00856,0.023245,0.00856,300,prevalence
misogynistic,deepseek,ppi,33.0,0.134284,0.00775,-0.003899,0.00775,300,prevalence
misogynistic,deepseek,ppi,43.0,0.121576,0.007016,-0.003782,0.007016,300,prevalence
misogynistic,deepseek,ppi,56.0,0.105398,0.006085,0.000852,0.006085,300,prevalence
misogynistic,deepseek,ppi,72.0,0.090002,0.005195,0.001549,0.005195,300,prevalence
misogynistic,deepseek,ppi,93.0,0.076021,0.004385,0.003345,0.004385,300,prevalence
misogynistic,deepseek,ppi,120.0,0.07166,0.004135,0.002481,0.004135,300,prevalence
misogynistic,deepseek,ppi,155.0,0.057215,0.003273,0.007682,0.003273,300,prevalence
misogynistic,deepseek,ppi,200.0,0.048126,0.002777,0.001773,0.002777,300,prevalence
