dataset,llm,method,n_expert,N_total,sRMSE,sRMSE_se,bias,bias_se,n_reps,n_valid,phase
misogynistic,deepseek,llm_only,200,,0.174349,0.0,0.174349,0.0,300,300,prevalence
misogynistic,deepseek,expert_only,200,239.0,0.064762,0.003711,0.007856,0.003711,300,300,prevalence
misogynistic,deepseek,expert_only,200,286.0,0.062433,0.003601,-0.002834,0.003601,300,300,prevalence
misogynistic,deepseek,expert_only,200,342.0,0.063124,0.003644,0.001196,0.003644,300,300,prevalence
misogynistic,deepseek,expert_only,200,408.0,0.065326,0.003759,-0.005364,0.003759,300,300,prevalence
misogynistic,deepseek,expert_only,200,488.0,0.065637,0.003786,0.002894,0.003786,300,300,prevalence
misogynistic,deepseek,expert_only,200,584.0,0.061567,0.003553,-0.001868,0.003553,300,300,prevalence
misogynistic,deepseek,expert_only,200,698.0,0.059111,0.003406,0.003593,0.003406,300,300,prevalence
misogynistic,deepseek,expert_only,200,834.0,0.060439,0.003489,0.000896,0.003489,300,300,prevalence
misogynistic,deepseek,expert_only,200,997.0,0.06463,0.003728,-0.0027,0.003728,300,300,prevalence
misogynistic,deepseek,dsl,200,239.0,0.061233,0.003492,0.009578,0.003492,300,300,prevalence
misogynistic,deepseek,dsl,200,286.0,0.059247,0.003413,-0.003946,0.003413,300,300,prevalence
misogynistic,deepseek,dsl,200,342.0,0.05683,0.00328,-0.001466,0.00328,300,300,prevalence
misogynistic,deepseek,dsl,200,408.0,0.05687,0.003278,-0.003122,0.003278,300,300,prevalence
misogynistic,deepseek,dsl,200,488.0,0.054101,0.003123,0.001229,0.003123,300,300,prevalence
misogynistic,deepseek,dsl,200,584.0,0.050727,0.002925,-0.002417,0.002925,300,300,prevalence
misogynistic,deepseek,dsl,200,698.0,0.047436,0.002737,0.001886,0.002737,300,300,prevalence
misogynistic,deepseek,dsl,200,834.0,0.048643,0.002807,0.001623,0.002807,300,300,prevalence
misogynistic,deepseek,dsl,200,997.0,0.051184,0.002955,0.000377,0.002955,300,300,prevalence
misogynistic,deepseek,ppi,200,239.0,0.061294,0.003494,0.009771,0.003494,300,300,prevalence
misogynistic,deepseek,ppi,200,286.0,0.059321,0.003419,-0.003588,0.003419,300,300,prevalence
misogynistic,deepseek,ppi,200,342.0,0.056931,0.003286,-0.001035,0.003286,300,300,prevalence
misogynistic,deepseek,ppi,200,408.0,0.056932,0.003283,-0.002778,0.003283,300,300,prevalence
misogynistic,deepseek,ppi,200,488.0,0.054553,0.003147,0.002221,0.003147,300,300,prevalence
misogynistic,deepseek,ppi,200,584.0,0.050628,0.002922,-0.001567,0.002922,300,300,prevalence
misogynistic,deepseek,ppi,200,698.0,0.04733,0.002728,0.00269,0.002728,300,300,prevalence
misogynistic,deepseek,ppi,200,834.0,0.048452,0.002794,0.002546,0.002794,300,300,prevalence
misogynistic,deepseek,ppi,200,997.0,0.051066,0.002947,0.001279,0.002947,300,300,prevalence
misogynistic,deepseek,ppipp,200,239.0,0.062469,0.003571,0.008732,0.003571,300,300,prevalence
misogynistic,deepseek,ppipp,200,286.0,0.059524,0.003431,-0.003274,0.003431,300,300,prevalence
misogynistic,deepseek,ppipp,200,342.0,0.058358,0.003369,2e-06,0.003369,300,300,prevalence
misogynistic,deepseek,ppipp,200,408.0,0.059261,0.003413,-0.004218,0.003413,300,300,prevalence
misogynistic,deepseek,ppipp,200,488.0,0.057683,0.003327,0.002393,0.003327,300,300,prevalence
misogynistic,deepseek,ppipp,200,584.0,0.053393,0.003081,-0.001893,0.003081,300,300,prevalence
misogynistic,deepseek,ppipp,200,698.0,0.050353,0.002902,0.002951,0.002902,300,300,prevalence
misogynistic,deepseek,ppipp,200,834.0,0.051187,0.002954,0.001511,0.002954,300,300,prevalence
misogynistic,deepseek,ppipp,200,997.0,0.054941,0.003171,-0.00097,0.003171,300,300,prevalence
