dataset,llm,method,n_expert,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid,phase
misogynistic,llama,ppipp,20,0.870631,0.004086,8.808262,1.953036,300,300,full_logistic
misogynistic,llama,ppipp,26,0.851964,0.003851,8.407681,1.652802,300,300,full_logistic
misogynistic,llama,ppipp,33,0.846041,0.00338,9.45552,1.525019,300,300,full_logistic
misogynistic,llama,ppipp,43,0.833185,0.002593,9.737261,1.463489,300,300,full_logistic
misogynistic,llama,ppipp,56,0.82382,0.00232,8.696557,1.19362,300,300,full_logistic
misogynistic,llama,ppipp,72,0.819098,0.002051,9.395506,1.135076,300,300,full_logistic
misogynistic,llama,ppipp,93,0.816563,0.001867,8.456345,0.955642,300,300,full_logistic
misogynistic,llama,ppipp,120,0.810233,0.001518,9.795889,0.896161,300,300,full_logistic
misogynistic,llama,ppipp,155,0.809052,0.001482,8.631889,0.769706,300,300,full_logistic
misogynistic,llama,ppipp,200,0.80627,0.001286,8.156373,0.71847,300,300,full_logistic
