dataset,llm,method,n_expert,N_total,sRMSE,sRMSE_se,bias,bias_se,n_reps,n_valid,phase
misogynistic,deepseek,llm_only,50,,0.174349,0.0,0.174349,0.0,300,300,prevalence
misogynistic,deepseek,expert_only,50,70.0,0.144073,0.008317,-0.002467,0.008317,300,300,prevalence
misogynistic,deepseek,expert_only,50,97.0,0.124662,0.00714,-0.015654,0.00714,300,300,prevalence
misogynistic,deepseek,expert_only,50,136.0,0.133379,0.007691,-0.006596,0.007691,300,300,prevalence
misogynistic,deepseek,expert_only,50,189.0,0.136455,0.007878,0.001529,0.007878,300,300,prevalence
misogynistic,deepseek,expert_only,50,264.0,0.13706,0.007895,0.009254,0.007895,300,300,prevalence
misogynistic,deepseek,expert_only,50,368.0,0.143542,0.008287,0.001928,0.008287,300,300,prevalence
misogynistic,deepseek,expert_only,50,513.0,0.135532,0.007822,-0.0034,0.007822,300,300,prevalence
misogynistic,deepseek,expert_only,50,715.0,0.138848,0.008014,-0.003266,0.008014,300,300,prevalence
misogynistic,deepseek,expert_only,50,997.0,0.138379,0.007982,0.005924,0.007982,300,300,prevalence
misogynistic,deepseek,dsl,50,70.0,0.134357,0.007757,0.000687,0.007757,300,300,prevalence
misogynistic,deepseek,dsl,50,97.0,0.120166,0.006912,-0.010376,0.006912,300,300,prevalence
misogynistic,deepseek,dsl,50,136.0,0.119586,0.006882,-0.009531,0.006882,300,300,prevalence
misogynistic,deepseek,dsl,50,189.0,0.118144,0.006821,-0.000532,0.006821,300,300,prevalence
misogynistic,deepseek,dsl,50,264.0,0.107673,0.006193,0.009392,0.006193,300,300,prevalence
misogynistic,deepseek,dsl,50,368.0,0.109859,0.006343,0.000907,0.006343,300,300,prevalence
misogynistic,deepseek,dsl,50,513.0,0.111311,0.006426,0.000633,0.006426,300,300,prevalence
misogynistic,deepseek,dsl,50,715.0,0.107292,0.006185,-0.006083,0.006185,300,300,prevalence
misogynistic,deepseek,dsl,50,997.0,0.101008,0.005827,-0.00383,0.005827,300,300,prevalence
misogynistic,deepseek,ppi,50,70.0,0.134555,0.007768,0.001865,0.007768,300,300,prevalence
misogynistic,deepseek,ppi,50,97.0,0.12043,0.006936,-0.008458,0.006936,300,300,prevalence
misogynistic,deepseek,ppi,50,136.0,0.119138,0.006866,-0.007025,0.006866,300,300,prevalence
misogynistic,deepseek,ppi,50,189.0,0.118465,0.006838,0.002875,0.006838,300,300,prevalence
misogynistic,deepseek,ppi,50,264.0,0.108589,0.006231,0.012061,0.006231,300,300,prevalence
misogynistic,deepseek,ppi,50,368.0,0.111014,0.006404,0.004408,0.006404,300,300,prevalence
misogynistic,deepseek,ppi,50,513.0,0.112241,0.006474,0.004788,0.006474,300,300,prevalence
misogynistic,deepseek,ppi,50,715.0,0.107322,0.006196,-0.000701,0.006196,300,300,prevalence
misogynistic,deepseek,ppi,50,997.0,0.100147,0.005781,0.00154,0.005781,300,300,prevalence
misogynistic,deepseek,ppipp,50,70.0,0.137143,0.007918,-0.000628,0.007918,300,300,prevalence
misogynistic,deepseek,ppipp,50,97.0,0.118592,0.006809,-0.012416,0.006809,300,300,prevalence
misogynistic,deepseek,ppipp,50,136.0,0.121661,0.007011,-0.007467,0.007011,300,300,prevalence
misogynistic,deepseek,ppipp,50,189.0,0.121397,0.007008,0.001373,0.007008,300,300,prevalence
misogynistic,deepseek,ppipp,50,264.0,0.115659,0.006655,0.009555,0.006655,300,300,prevalence
misogynistic,deepseek,ppipp,50,368.0,0.119904,0.006922,0.001877,0.006922,300,300,prevalence
misogynistic,deepseek,ppipp,50,513.0,0.117289,0.006772,-8e-05,0.006772,300,300,prevalence
misogynistic,deepseek,ppipp,50,715.0,0.115605,0.006672,-0.003188,0.006672,300,300,prevalence
misogynistic,deepseek,ppipp,50,997.0,0.110739,0.006392,0.002562,0.006392,300,300,prevalence
