dataset,llm,method,n_expert,N_total,sRMSE,sRMSE_se,bias,bias_se,n_reps,n_valid,phase
misogynistic,deepseek,llm_only,50,,0.176,0.0,0.176,0.0,300,300,prevalence
misogynistic,deepseek,expert_only,50,70.0,0.13914,0.008033,0.000533,0.008033,300,300,prevalence
misogynistic,deepseek,expert_only,50,97.0,0.147495,0.008515,-0.001733,0.008515,300,300,prevalence
misogynistic,deepseek,expert_only,50,136.0,0.134045,0.007663,-0.0188,0.007663,300,300,prevalence
misogynistic,deepseek,expert_only,50,189.0,0.137715,0.007921,-0.012,0.007921,300,300,prevalence
misogynistic,deepseek,expert_only,50,264.0,0.134779,0.007778,0.004,0.007778,300,300,prevalence
misogynistic,deepseek,expert_only,50,368.0,0.138237,0.007981,-0.001467,0.007981,300,300,prevalence
misogynistic,deepseek,expert_only,50,514.0,0.136724,0.00788,-0.008133,0.00788,300,300,prevalence
misogynistic,deepseek,expert_only,50,717.0,0.137133,0.00789,-0.011467,0.00789,300,300,prevalence
misogynistic,deepseek,expert_only,50,1000.0,0.136996,0.0079,0.006533,0.0079,300,300,prevalence
misogynistic,deepseek,dsl,50,70.0,0.131707,0.007599,0.004936,0.007599,300,300,prevalence
misogynistic,deepseek,dsl,50,97.0,0.13198,0.00762,-0.000301,0.00762,300,300,prevalence
misogynistic,deepseek,dsl,50,136.0,0.119273,0.006833,-0.014852,0.006833,300,300,prevalence
misogynistic,deepseek,dsl,50,189.0,0.118599,0.006818,-0.010944,0.006818,300,300,prevalence
misogynistic,deepseek,dsl,50,264.0,0.110825,0.006395,0.003812,0.006395,300,300,prevalence
misogynistic,deepseek,dsl,50,368.0,0.114382,0.006597,-0.005302,0.006597,300,300,prevalence
misogynistic,deepseek,dsl,50,514.0,0.104986,0.006041,-0.008645,0.006041,300,300,prevalence
misogynistic,deepseek,dsl,50,717.0,0.109382,0.006301,-0.007275,0.006301,300,300,prevalence
misogynistic,deepseek,dsl,50,1000.0,0.109518,0.006323,0.000397,0.006323,300,300,prevalence
misogynistic,deepseek,ppi,50,70.0,0.132742,0.007655,0.006273,0.007655,300,300,prevalence
misogynistic,deepseek,ppi,50,97.0,0.132398,0.007643,0.001724,0.007643,300,300,prevalence
misogynistic,deepseek,ppi,50,136.0,0.119278,0.006852,-0.011893,0.006852,300,300,prevalence
misogynistic,deepseek,ppi,50,189.0,0.117801,0.006787,-0.007697,0.006787,300,300,prevalence
misogynistic,deepseek,ppi,50,264.0,0.111225,0.006406,0.007778,0.006406,300,300,prevalence
misogynistic,deepseek,ppi,50,368.0,0.113894,0.006576,-0.000465,0.006576,300,300,prevalence
misogynistic,deepseek,ppi,50,514.0,0.104878,0.006051,-0.003881,0.006051,300,300,prevalence
misogynistic,deepseek,ppi,50,717.0,0.10858,0.006266,-0.003243,0.006266,300,300,prevalence
misogynistic,deepseek,ppi,50,1000.0,0.110048,0.006347,0.005124,0.006347,300,300,prevalence
misogynistic,deepseek,ppipp,50,70.0,0.133491,0.007705,0.003099,0.007705,300,300,prevalence
misogynistic,deepseek,ppipp,50,97.0,0.136659,0.00789,-0.000569,0.00789,300,300,prevalence
misogynistic,deepseek,ppipp,50,136.0,0.122456,0.007011,-0.015759,0.007011,300,300,prevalence
misogynistic,deepseek,ppipp,50,189.0,0.121633,0.006996,-0.010573,0.006996,300,300,prevalence
misogynistic,deepseek,ppipp,50,264.0,0.115747,0.006677,0.004942,0.006677,300,300,prevalence
misogynistic,deepseek,ppipp,50,368.0,0.119274,0.006886,-0.001694,0.006886,300,300,prevalence
misogynistic,deepseek,ppipp,50,514.0,0.113775,0.006556,-0.007003,0.006556,300,300,prevalence
misogynistic,deepseek,ppipp,50,717.0,0.115509,0.006652,-0.008202,0.006652,300,300,prevalence
misogynistic,deepseek,ppipp,50,1000.0,0.115614,0.006669,0.004752,0.006669,300,300,prevalence
